i,j,vm_mrs,mem_mrs,backoff_mrs
52,34,758095,148,1051
83,67,325580,75,297
67,63,58060,8,0
13,7,196544,55,171
55,8,49411,7,0
74,10,48511,10,0
50,12,41364,8,0
94,31,43050,7,0
58,29,533988,101,409
57,41,475827,81,821
66,65,44593,10,0
68,38,50930,8,0
65,15,96567,15,42
31,20,42278,9,0
100,27,3712229,762,4130
59,53,573507,52,221
54,8,285695,56,192
92,6,51226,9,0
82,48,339340,63,437
24,9,369313,91,403
3,1,129122,24,71
34,12,41083,9,0
83,18,371279,70,272
89,72,302454,56,460
95,61,45557,8,0
89,55,51356,71,0
94,89,42525,8,0
29,27,45637,9,0
93,28,87398,17,38
63,57,457426,81,334
52,43,357693,68,315
49,42,42203,9,0
70,69,192779,37,109
94,25,114334,8,0
77,52,53211,7,0
89,83,134967,24,651
96,28,41406,8,0
82,69,41471,9,0
100,84,48098,7,0
73,41,48277,9,0
67,4,48409,8,0
85,36,565457,103,421
56,9,430418,89,366
96,79,48259,8,0
83,21,415726,80,339
86,13,284932,36,1076
88,24,512011,119,4221
74,19,48967,9,0
34,17,39689,10,0
38,20,45585,10,0
6,1,42489,8,0
58,21,465109,92,351
66,32,46448,8,0
93,41,42231,8,0
31,11,38005,8,0
35,25,46244,8,0
81,57,60335,8,0
66,64,45352,10,0
84,58,470633,111,1053
53,11,440077,96,338
89,27,40088,9,0
86,17,54153,8,0
66,45,48220,7,0
91,82,41332,9,0
85,23,54801,175,0
7,1,140377,28,78
60,22,54689,8,0
99,7,49423,11,0
72,44,46402,8,0
81,36,46792,8,0
49,17,43525,8,0
72,18,51952,8,0
39,11,49213,11,0
61,57,465761,88,460
94,91,106112,16,35
41,32,47272,9,0
61,34,696066,641,2815
87,47,751912,138,599
94,36,41991,8,0
86,14,513469,86,6214
75,29,46587,8,0
48,22,327238,94,622
26,8,389207,91,280
33,24,49349,8,0
82,12,303764,75,202
57,28,210314,45,154
17,1,46824,9,0
89,86,211810,53,166
73,27,45811,5,0
97,67,76344,8,0
42,10,346512,64,226
100,81,55586,10,0
95,13,57762,8,0
37,3,53758,8,0
61,37,677465,198,1966
60,45,248204,103,398
79,74,51807,8,0
43,23,593072,117,474
45,24,48928,8,0
77,9,92577,14,40
99,65,50211,7,0
65,20,83264,17,40
74,43,45018,9,0
75,70,42948,10,0
38,26,43307,7,0
90,34,61874,7,0
68,7,51510,8,0
92,48,43342,10,0
36,34,51239,9,0
37,24,41430,8,0
88,25,38937,8,0
92,43,46364,9,0
71,24,39062,8,0
